title,address,description,price,date,seller,image 
Parking for sale,"Grosvenor Crescent Mews, London, SW1X","A spectacular mews house offering flexible living located on one of Belgravia's finest and exclusive gated Mews. The accommodation comprises on the ground floor; entrance hall way with open-plan kitchen with Miele appliances and dining area, guest cloakroom and access to the garage. Th...","£8,900,000",21/07/2020,"'s International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/82434244/62080_LON200277_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"Lillie Square, Seagrave Road, Earl's Court, London, SW6","A stunning south facing Duplex Penthouse set within Lillie Square. Viewings strictly by appointment only. A south facing duplex, 3 bedroom plus study Penthouse set on the 14th and 15th floors of One Lillie Square SW6. This apartment has direct access to the Residents only Club House at the base...","£8,900,000",30/04/2019,"Knight Frank - New Homes, New Homes Sales Team",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157658/69570705/157658_KRD140878_IMG_01_0001_max_476x317.jpg
3 bedroom flat for sale,"Allingham Court, The Bishops Avenue, N2","A spectacular lateral penthouse apartment in the most prestigous development on The Bishops Avenue with 5,138 sq ft of interior designed accommodation leading to a large west facing terrace with superb uninterupted views. This Penthouse is fully air conditioned and fitted with state of t...","£8,850,000",yesterday,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/83349421/190037_29898252_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"Chesworth Court, Fulneck Place, Stepney Green, London, E1 3FB","JS & Co are proud to present this stunning two bedroom two bathroom apartment in an enviable location of Stepney Green. This property consists of two double bedrooms with one en-suite, large open ...","£540,000",28/02/2020,"J S & Co Estate Agents Ltd, Canada Water",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150881/68701755/150881_542559_IMG_01_0000_max_476x317.jpg
3 bedroom semi-detached house for sale,"Aldersgate Street, London, EC1A","Property Ref: 6822 LOCATIONA hidden gem in the heart of London, situated behind Charterhouse Square and accessed from Aldersgate Street. Barbican underground station and the new Elizabeth Line at Farringdon is a two-minute walk away. Local amenities are excellent being adjacent to the Barbican ...","£8,800,000",09/07/2020,"99home.co.uk, Covering Nationwide",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/81938644/176603_6822_EAF_48581_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Cambridge Gate, London","An exceptional apartment comprising 301sq m/3,236sq ft of lateral accommodation, arranged over the second floor of this highly regarded Regents Park Terrace. Featuring two grand reception rooms with unparalleled views over Regents Park, the apartment further benefits from secure parkin...","£8,750,000",25/06/2018,"Sandfords, Regents Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45144/64582367/45144_SAN170020_IMG_07_0000_max_476x317.jpg
3 bedroom flat for sale,"Whistler Square, Chelsea Barracks, London, SW1W","3 bedroom lateral apartment for sale in Belgravia SW1 A brand new ground and lower ground floor lateral apartment located in this world-class development. There is a spacious reception room with French doors facing westwards, a dining room through interconnecting doors with a double aspect and a...","£8,750,000",03/03/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/77875867/94745_BGV012028608_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Byron Drive, London, N2","Cul de sac location off of The Bishops Avenue Extending to approx. 8,752 sq.ft and built approx. 12 years ago a spacious 6/7 bedroom detached house located on a sought after turning off of The bishops Avenue, N2. Presented in excellent condition, a stunning detached family home located on a sou...","£8,750,000",29/06/2018,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/66036130/65806_HAM180096_IMG_25_0004_max_476x317.jpg
9 bedroom detached house for sale,"Church Road, Ham, Richmond, Surrey, TW10",An exceptional lateral home within stunning gardens,POA,26/02/2020,"Savills, Richmond",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48958/89863655/48958_RIS070100_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Church Road, Ham, Richmond, Surrey, TW10","Amazing contemporary detached house for sale in a secluded location Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you. These include video walkthroughs, 360 virtual reality v...",POA,26/02/2020,"Knight Frank, Richmond",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/29k/28836/89840093/28836_SLA050131_IMG_01_0000_max_476x317.jpg
7 bedroom house for sale,"Courtenay Avenue, London, London, N6 ","Set behind a sweeping carriage driveway, an impressive detached house in one of London's premier roads immediately opposite Kenwood House. The property provides family orientated accommodation of 5,390 sq ft/500 sq m set around a magnificent double height reception hall, and features mature garde...","£8,650,000",05/07/2018,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/59514051/195398_28467415_IMG_23_0000_max_476x317.jpg
6 bedroom detached house for sale,"Courtenay Avenue, Highgate, London, N6","A rarely available and beautifully elegant detached home, brimming with character and period charm.","£8,650,000",08/11/2017,"Savills, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48928/83474018/48928_HAH120069_IMG_01_0000_max_476x317.JPG
6 bedroom detached house for sale,"Bracken Knoll, Courtenay Avenue, N6","The house has previously has Planning consent, which will be reinstated shortly for a magnificent new residence of 13,488 sq ft over four floors behind a retained façade to include a substantial leisure complex with swimming pool and cinema. This rarely available and beautifully elegant...","£8,650,000",16/03/2018,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/53318199/190037_27036111_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Burghley Road, Wimbledon, SW19","A stunning, recently built family home designed to the very highest specifications with over 8,000 sq ft of accommodation, swimming pool and separate sound-proof music studio and parking, within walking distance of Wimbledon Village and the Common","£8,500,000",25/06/2020,"Robert Holmes & Co, Wimbledon - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/73k/72698/81325282/72698_WIM200059_IMG_35_0000_max_476x317.jpg
6 bedroom flat for sale,"Montevetro, 100 Battersea Church Road, London, SW11","Riverside penthouse for sale in Montevetro SW11 An exceptional opportunity to acquire one of the river's most exciting properties. The jewel in the crown of Montevetro, incorporating the top 3 floors of the building, with triple aspect views over London. Originally two apartments and with 6 park...","£8,500,000",31/03/2019,"Knight Frank, Battersea and Riverside",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87310/80543927/87310_RVR160127_IMG_01_0006_max_476x317.jpg
3 bedroom flat for sale,"Upper Belgrave Street, Belgravia, London, SW1X","An outstanding 3 bedroom penthouse apartment for sale in Belgravia SW1 Arranged laterally across 2 white stucco-fronted buildings, this beautiful penthouse apartment has a huge amount of natural light. It is held on a long lease with approximately 116 years remaining. Accommodation covers 282 sq...","£8,500,000",17/02/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/77542528/94745_BGV170031_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Victoria Road, London, W8","A wonderful seven-bedroom family house with off-street parking in the prestigious De Vere Conservation area This is an impressive seven-bedroom family house, occupying approximately 3,920 sq ft, with off-street parking and a patio garden. The beautiful house is arranged over five floors, with e...","£8,500,000",23/07/2020,"Knight Frank, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/95202509/65809_KEN012002719_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Norfolk Road, London, NW8","One of the finest homes in St. John's Wood available for the first time in over 20 years. Two Storey, Detached, West facing stucco villa with off street parking and beautiful landscaped garden.
Norfolk Road, on the favoured East Side of St Johns Wood and runs east / west between Avenue Road a...","£8,500,000",01/08/2020,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/82972573/65830_SJW180226_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"Upper Belgrave Street, London, SW1X","A well presented three bedroom lateral penthouse apartment benefiting from direct lift access, with a very open aspect providing stunning views of Belgravia.","£8,500,000",21/02/2020,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/77647399/48943_SLH200016_IMG_08_0000_max_476x317.jpg
3 bedroom mews house for sale,"Powis Mews, London, W11","Highly unique and incredibly rare, this sensational three-bedroom home has been both the cradle of family life and a working studio for one of the world's most influential design partnerships that of Ross Lovegrove and his wife, Miska Miller-Lovegrove. ","£8,500,000",18/03/2019,"Domus Nova, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/29k/28746/80210879/28746_21powismews_IMG_00_0000_max_476x317.jpg
4 bedroom duplex for sale,"Pembridge Crescent, London, W11","A magnificent, recently refurbished and interior designed four double bedroom family apartment with private gardens and off-street parking.","£8,500,000",30/07/2020,"Savills, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48934/85012745/48934_KEF190012_IMG_01_0000_max_476x317.jpg
6 bedroom triplex for sale,"Montevetro, Battersea Church Road, London, SW11 3YL","Undoubtedly the finest apartment within The Montevetro Building. This stunning penthouse apartment is situated on the top three floors of the tallest block at Montevetro The apartment is offered with 6 car parking spaces and benefits from 24 hour security, a tennis court and gymnasium.","£8,500,000",14/01/2019,"Jo Webster Properties Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/140k/139826/60502720/139826_99_IMG_21_0013_max_476x317.jpg
4 bedroom terraced house for sale,"Radnor Place, Hyde Park, London, W2","Beautiful 4 bedroom house for sale in W2 A chance to live within a beautiful, elegant house near Hyde Park and Paddington. The property has been refurbished throughout to an exceptional standard, on the ground floor is a stunning reception room with wood floors, fireplace and the stunning c...",POA,27/07/2019,"Knight Frank, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65821/95519375/65821_HPE100122_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Holland Park Villas, 6 Campden Hill, London, W8","A superb south-facing 3 bedroom apartment with in Holland Park Villas Amongst the luxury of one of Kensington's finest developments, this particular apartment is located on the second floor, and looks directly south from the reception room and dining area across the landscaped gardens. Approxi...","£8,500,000",25/02/2020,"Knight Frank, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/77717086/65809_KEN190153_IMG_01_0000_max_476x317.jpg
Detached house for sale,"Compton Avenue, N6","On the market for the first time in almost 40 years is this detached freehold home, located in what is to be considered one of London’s finest private gated turnings with 24 hour security and CCTV. Heathview is set on a plot of 0.47 of an acre (0.19 hectares) with a sweeping carriage dr...",POA,24/06/2020,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/71416932/190037_29743532_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Ingram Avenue, NW11","Occupying a wider than average plot on the lower slope of this sought after avenue close to the Heath Extension, a charming and well maintained family home spanning 6903 sq ft (641 sq m) over three storeys. This spacious and handsome home benefits from a large carriage driveway, a south...","£8,500,000",21/05/2018,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/53318223/190037_27588701_IMG_01_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Randolph Road, Little Venice, London W9","A substantial white stucco fronted period house located on one of the finest roads in Little Venice. The property, which is found in stunning condition, backs directly onto arguably one of the finest communal gardens in London, which includes a children's play area and tennis court. The home offe...","£8,500,000",07/07/2020,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/81830296/73947_29779017_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Ingram Avenue, Hampstead Garden Suburb, NW11",Stunning 7 bed house in Hampstead Garden Suburb Occupying a prominent position on Ingram Avenue and featuring a beautiful south facing rear garden with views of a delightful bird sanctuary and private wood is this excellent family home. Occupying a wider than average plot on this incredibly sou...,"£8,500,000",04/10/2019,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/74520229/65806_HAM130103_IMG_01_0003_max_476x317.jpg
4 bedroom apartment for sale,"LONDON HOUSE, AVENUE ROAD, NW8 7PX","An outstanding four bedroom apartment set on the sixth floor of this luxurious sought after portered building on Avenue Road. The flat features a superb 38 sq ft reception room with open and expansive views, which is ideal for entertaining. Further benefits include two terraces, a reserved car pa...","£3,150,000",10/07/2020,"Winkworth, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90830/94660169/90830_2480321_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Curzon Street, Mayfair, London, W1J","An exceptional 3 bedroom apartment for sale in Mayfair Four newly developed apartments, giving excellent well designed lateral space. All the apartments are presented in immaculate condition with Holly Hunt furniture throughout and Porta Romana lighting, silk curtains, blinds and hand tufted car...","£8,500,000",06/08/2019,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/74937986/65815_WER180060_IMG_12_0001_max_476x317.jpg
4 bedroom flat for sale,"Rose Square, The Bromptons, South Kensington, London, SW3","A 4 bedroom flat for sale in SW3 An immaculately refurbished 4 bedroom apartment in the iconic gated development, Rose Square, comes with 24 hour concierge, security, swimming pool and 2 underground parking spaces. Approximately 298 sq m (3,211 sq ft). EPC: E The Bromptons is a f...","£8,500,000",06/03/2020,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/90175274/65827_SLA130356_IMG_01_0001_max_476x317.jpg
2 bedroom apartment for sale,"Whitehall Place,, London, SW1A","A beautifully interior designed lateral apartment of 3,175 square foot situated within the Corinthia Residences, offering unique access to the hotel and all its services.","£8,500,000",29/10/2019,"Wetherell, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112651/86083856/112651_219469S_IMG_17_0000_max_476x317.jpg
3 bedroom apartment for sale,"Curzon Street, Mayfair, London, W1J","Four newly developed lateral apartments, offering beautifully designed lateral space. VIRTUAL TOUR ","£8,500,000",06/08/2019,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83477915/49602_MAS180035_IMG_03_0000_max_476x317.jpg
3 bedroom flat for sale,"Burlington Gate, 25 Cork Street, W1S","A stunning 3 bedroom apartment with spa facilities Located in the heart of Mayfair, Burlington Gate provides a selection of galleries and high quality residential apartments within one of the first newly constructed buildings in the area. Moments from the Royal Academy of Arts and Burlington Ar...","£8,500,000",20/05/2020,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/84682004/65815_WER180090_IMG_01_0002_max_476x317.jpg
5 bedroom flat for sale,"HERTFORD STREET,  LONDON,  W1J","4 X 2 bedroom apartments and 1 X 3 bedroom duplex with patio, all recently refurbished located in this charming white stucco period property (with lift) in Mayfair. ","£8,500,000",03/08/2020,"Wedgewood Estates, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102385/95621477/102385_2561861_IMG_01_0000_max_476x317.jpg
3 bedroom terraced house for sale,"Powis Mews, London, W11","Positioned on a quiet cobbled mews in Notting Hill on the site of a former warehouse, is this extraordinary building that combines an expansive studio space and a split-level apartment, arranged over four floors and measuring almost 5,400 sq ft internally.","£8,500,000",25/05/2018,"The Modern House, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65243/61022166/65243_4559136_IMG_01_0001_max_476x317.jpg
5 bedroom detached house for sale,"Burghley Road, London, SW19",A substantial and beautifully presented modern detached house in the heart of Wimbledon. A substantial and beautifully presented modern detached house of some 8000 sq ft located in a highly sought after residential road in the heart of Wimbledon. This stunningly built house offers exceptional ...,"£8,500,000",25/06/2020,"Knight Frank, Wimbledon",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65833/93999578/65833_WMB012086056_IMG_01_0001_max_476x317.jpg
3 bedroom flat for sale,"Centre Point Residences, 103 New Oxford Street, London, WC1A",3 bedroom apartment with uncompromised views over the city. A beautifully crafted three bedroom apartment within this much sought after recently completed new development part of 'The Vantage Collection'. It is situated on the 27th floor with breath-taking views over London. Centre Point stands...,"£8,450,000",21/11/2019,"Knight Frank - New Homes, Prime Central London Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41063/94169942/41063_KRD160991_IMG_01_0000_max_476x317.jpg
Mews house for sale,"Eaton Mews South, Belgravia, London, SW1W","Lateral Mews House in the heart of Belgravia, with flexible accommodation and a roof terrace. Rebuilt in 2012 behind the façade this is an exceptional and completely bespoke mews house measuring 2,991 sq ft of internal space with approximately 823 sq ft of a roof terrace. The house has been cl...","£8,350,000",30/07/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/82867510/94745_BGV012031072_IMG_01_0002_max_476x317.jpg
4 bedroom apartment for sale,"The Clairmont, The Dumont, SE1","A 1,867 sq ft landscaped terrace with direct river views makes this 18th floor four bedroom apartment one of the most enviable homes in the Dumont. Double doors from the lounge, kitchen and bedrooms open up onto the stunning terrace that has its very own outdoor kitchen and Jacuzzi. The perfect s...",POA,05/12/2019,"JLL, London Residential Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100183/71983977/100183_LWN00359_IMG_12_0001_max_476x317.jpg
6 bedroom house for sale,"Springfield Road, St John's Wood, London, NW8 ","A neo-Georgian detached house arranged over 3 floors only, providing 4,316 sq ft / 401 sq m of accommodation and presented in good decorative condition throughout. The house which features elegant and well-proportioned rooms benefits from a large rear garden as well as landscaped gardens to the...","£8,300,000",30/07/2018,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/59514081/195398_28467423_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Church Road, Ham, Richmond, TW10",Large-scale accommodation including vast living space and a wonderful indoor swimming pool.,"£8,250,000",10/06/2020,"Hamptons International Sales, Richmond",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37955/80726575/37955_RIC200017_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Coleridge Gardens, 552 Kings Road, Kings Chelsea, London, SW10",A rare opportunity to acquire this superb family house which offers excellent accommodation over three floors. The property is one of only eleven houses in this much sought after development and backs onto the communal landscaped gardens. The house has very generous proportions with high ceilings...,"£8,250,000",yesterday,"Susan Metcalfe Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99512/93867503/99512_1023206824_IMG_07_0000_max_476x317.jpg
4 bedroom flat for sale,"St. James's Street, St. James's, London, SW1A","A Large penthouse comprising two reception rooms, modern eat-in kitchen, private lift and a fantastic south facing terrace looking on to St. James's Palace. ","£8,250,000",18/07/2019,"Chestertons Estate Agents , Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31623/94931657/31623_MAY170136_IMG_05_0000_max_476x317.jpg
5 bedroom penthouse for sale,"Benbow House, 24 New Globe Walk, Southwark, London, SE1",Exceptional riverside penthouse with incredible City views,"£8,250,000",21/05/2020,"Savills, Waterfront",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141689/92541614/141689_WTS200012_IMG_02_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Hamilton Terrace, St. John's Wood, London, NW8",This exquisite home has been completely rebuilt behind the original façade to the absolute highest specification on the West Side of this prestigious tree lined boulevard.,"£8,250,000",22/09/2018,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/63852843/78202_STS170162_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Hamilton Terrace, London, NW8","Positioned on the west side of this prestigious road, Hamilton Terrace is an impressive semi-detached family home, rebuilt to the highest standard behind the original façade. The interior design of this charming home is exceptional and really showcases the five double bedrooms and ample living sp...","£8,250,000",06/02/2019,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/69926611/79099_1009315123_IMG_01_0001_max_476x317.jpg
4 bedroom flat for sale,"St James's Street, St James's, London, SW1A.","4 bed penthouse apartment with roof terrace for sale in St James's SW1 A 4 bedroom triplex penthouse apartment in need of some modernisation, featuring an incredible 27 ft private roof terrace with far reaching views across the London skyline. EPC: E. Comprising 2 flexible open plan reception ...","£8,250,000",28/02/2017,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/40622632/65815_WER030417_IMG_01_0002_max_476x317.jpg
6 bedroom detached house for sale,"Church Road, Ham, Richmond, Surrey, TW10",A remarkable family home within stunning gardens ,"£8,250,000",18/06/2020,"Savills, Richmond",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48958/93705887/48958_RIS200022_IMG_01_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Hamilton Terrace, St John's Wood, London NW8",This exquisite home has been completely rebuilt behind the original facade to the absolute highest specification on the west side of this prestigious tree lined boulevard. An exceptional opportunity to purchase an impressive semidetached family home. The property has been built to the highest of ...,"£8,250,000",05/02/2019,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/79141223/73947_28525415_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"188 Kirtling St, London. SW8 5NB",Battersea Power Station Duplex Penthouse,"£8,200,000",10/12/2019,"Nest Seekers International , London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/193k/192446/89178887/192446_NEST_RM_192446_1278012_IMG_11_0000_max_476x317.jpg
3 bedroom apartment for sale,"Boiler House Square, Battersea Power Station, Nine Elms, London, SW8","A truly sensational three bedroom duplex apartment in Boiler House Square, the exclusive penthouse level of the Battersea Power Station development. This apartment is an astonishing 2381 square foot of flexible living space with a stunning roof terrace in one of the most iconic buildings in Centr...","£8,150,000",11/09/2019,"MyLondonHome, Battersea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/220k/219590/67988691/219590_NSN150102_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"The Boiler House, Battersea Power Station, Battersea, SW8","*Exclusive Penthouse* One of only four Chimney Penthouses in the scheme. Premier specification three bedroom four bathroom apartment spread over (2,381 Sq. Ft internal) plus (992 Sq .Ft roof terrace) and a further unique (302 Sq. Ft) Wrap around Chimney Terrace, offering panoramic Chelsea Bridge,...","£8,150,000",03/09/2018,"Ernest-Brooks International, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/163k/162914/63617661/162914_CAN170525_IMG_06_0000_max_476x317.jpg
2 bedroom flat for sale,"Otter Drive, Carshalton, Surrey","The Personal Agent are delighted to present this beautifully finished apartment set in a popular part of Carshalton. Located in a development built within the last 8 years, the property boasts a perfect example of modern and contemporary living. This larger than average apartment, measuring 782...","£300,000",07/08/2020,"The Personal Agent, Banstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149105/95527850/149105_29864725_IMG_01_0000_max_476x317.jpg
4 bedroom penthouse for sale,"Battersea Power Station, Nine Elms, London SW8","Opportunity to acquire, one of the very few duplex villa / townhouse style apartment set on top of the boiler square of the Battersea Power Station which is currently being restored. This 3 bedroom, 4 bathroom home offers generous amount of outdoor space.","£8,150,000",14/02/2020,"Copperstones Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82091/77495212/82091_CS_118_IMG_10_0000_max_476x317.jpg
3 bedroom apartment for sale,"Marylebone Square, London, W1U","A 4th floor, three bedroom penthouse apartment set within this most eagerly awaited residential development to be built in Marylebone over recent decades. Nestled in the absolute epicentre of Marylebone Village only a stone's throw from the much lauded and admired Marylebone High Stree...","£8,110,000",02/03/2020,"Druce Marylebone Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93215/68775510/93215_MAS200011_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Aybrook Street, Marylebone, London, W1U ","A fabulous three bedroom penthouse in a development currently under construction in the heart of Marylebone. The flat contains a large reception room, open-plan kitchen and three bedrooms with ensuite bathrooms. High-quality, natural materials such as oak flooring, bronze-coated windows and stone...","£8,110,000",13/07/2020,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/71814960/195398_29795580_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Marylebone Square, London, London, W1U ","A stunning three bedroom penthouse apartment with a study situated on the fourth floor of a brand new development boasting contemporary high-specification finishes throughout and a private Balcony. The development offers a collection of one, two and three bedroom apartments boasting contemporary ...","£8,110,000",13/05/2020,"Hanover, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74440/70466379/74440_29631276_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Marylebone Square, Moxon Street, London, W1U","Located within this exquisite, contemporary and highly anticipated luxury new build development is this magnificent 3 bedroom, fourth floor Penthouse apartment with terrace. Marylebone Square offers the highest standard of finishes and specifications combining the finest blend of modern fi...","£8,110,000",22/06/2020,"Behr and Butchoff, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78397/93867716/78397_SJW200098_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"Moxon Street, London, W1U","Marylebone Square is a collection of 54 high-end apartments, carefully chosen boutiques and restaurants, and a versatile community hall.","£8,110,000",07/04/2020,"Carter Jonas, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48576/91185314/48576_MYL200041_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Marylebone Square, Marylebone, London","A contemporary take on a classic London mansion, Marylebone Square has been designed by Simon Bowden Architecture and with interiors by LIV Interiors. Home to 54 apartments and carefully selected boutiques and restaurants, it offers the very best of a refined London village lifestyle. Bound by Ay...","£8,110,000",07/04/2020,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/78750709/73947_29596928_IMG_07_0000_max_476x317.jpg
4 bedroom apartment for sale,"Knightsbridge, London","A grand lateral apartment situated on the fourth floor of Parkside, one of the most imposing apartment blocks in Knightsbridge backing directly onto Hyde Park with views across the park from the main rooms and balcony. The apartment is fully air-conditioned having obtained special consent for it...","£8,100,000",24/01/2019,"Hyde Park Agencies, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77287/74792867/77287_28083973_IMG_11_0000_max_476x317.jpg
3 bedroom apartment for sale,"Boiler House, Battersea Power Station",The Height of Luxury Living | *Stunning Penthouse Apartment* | Part of The Original Chimney Stack | Battersea Power Station,"£8,100,000",03/07/2020,"Invest & Co, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/220k/219485/94205924/219485_103426000011_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Hamilton Terrace, London, NW8","Development opportunity, impressive, detached, period, freehold villa with large rear garden. A substantial residence on this highly sought-after tree-lined road. The property is being sold with planning permission to create a spectacular family home with a large indoor leisure complex and a 170...","£8,000,000",03/08/2020,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/77305903/65830_SJW190150_IMG_01_0001_max_476x317.jpg
3 bedroom flat for sale,"Rutland Court, Rutland Gardens, Knightsbridge, London, SW7","A 3 bedroom flat for sale in Knightsbridge SW7 A beautiful three bedroom raised ground floor apartment on a private road. The flat benefits from a porter and parking (by separate negotiation). Approximately 209.6 sq m (2,256 sq ft). EPC D This grand and spacious lateral apartment is situated ...","£8,000,000",30/10/2019,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/83050274/65827_SLA180252_IMG_01_0001_max_476x317.jpg
